SMILES,TITLE
CCC(=O)NC(Cc1c[nH]c2c1cc(cc2)OC)C(=O)OC,s_11a____14724372____53504
CC(C[NH+](C)Cc1cc2c([nH]1)cccc2OC)C(=O)[O-],s_275532____13829896____15269824
CN(CCF)C(=O)NCCc1c[nH]c2c1cc(cc2)OC,s_272164____14971852____9374306
c1ccc2c(c1)cc([nH]2)CCNC(=O)CC#N,s_22____7533902____8794444
CC(Cc1c[nH]c2c1cc(c(c2)F)F)NC(=O)CCl,s_270062____14190640____8147258
CCC(=O)NCCc1c[nH]c2c1cc(cc2)OC,s_22____4839448____58887
Cc1ccc2c(c1)[nH]cc2CCNC(=O)CSC,s_22____9156166____60364
c1cc2c(c[nH]c2c(c1)Cl)CCNC(=O)C[NH3+],s_240690b____12346500____3025698
CCCC(=O)NCCc1c[nH]c2c1ccc(c2)F,s_22____2366540____58866
CC(=O)NC(C)(C)Cc1c[nH]c2c1cccc2Br,s_270062____15561916____15585492
COc1cccc2c1c(c[nH]2)CCNC(=O)COCC#C,s_22____13025516____15498218
CC(CC(=O)NCCc1c[nH]c2c1c(ccc2)OC)[NH3+],s_240690b____13025580____7368602
CN(C)C(=O)CC[NH2+]Cc1cc2c([nH]1)cccc2OC,s_270004____8294786____15269820
CC[NH2+]CC(=O)NCCc1c[nH]c2c1cccc2OC,s_240690b____15506692____7368632
CC(C)(CC(=O)NCCc1c[nH]c2c1ccc(c2)OC)O,s_22____13978824____9477924
CCOc1cccc2c1c(c[nH]2)CCNC(=O)C(=O)N,s_22____9226532____12053348
CC(C(=O)NCCc1c[nH]c2c1cc(cc2)Cl)O,s_22____6079110____7941096
COCCC(=O)NCCc1c[nH]c2c1cccc2OC,s_22____15506616____2909590
CCCNC(=O)NCCc1c[nH]c2c1cccc2OC,s_512____214540____15506628
CCC(=O)NCC(C)(C)c1c[nH]c2c1ccc(c2)F,s_527a____12637914____156120
COc1ccc2c(c1)[nH]cc2CCNC(=O)CC3CC3,s_22____13978824____592954
COc1ccc2c(c1)c(c[nH]2)CCNC(=O)C=C,s_273270____16362954____10884640
COc1cccc2c1c(c[nH]2)CCNC(=O)C[NH3+],s_240690b____13025580____3025698
