SMILES,TITLE,fragments,Hybrid2,docked_fragment,site
c1ccc(c(c1)N2CCN(CC2)C(=O)CCl)Cl,x0690,x0690,-9.422290,x0749,active-covalent
c1ccc2c(c1)CC[N@H+](C2)Cc3ccccc3O,x0581,x0581,-9.420887,x1093,active-noncovalent
c1ccc(c(c1)[C@@H]2COC[C@@H]2C[NH3+])F,x0924,x0924,-9.410730,x0195,active-noncovalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1440,x1440,-9.405463,x0831,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1337,x1337,-9.405463,x0831,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1373,x1373,-9.405463,x0831,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1492,x1492,-9.405463,x0831,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x0702,x0702,-9.405463,x0831,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1470,x1470,-9.405463,x0831,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x0776,x0776,-9.405463,x0831,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1392,x1392,-9.405463,x0831,active-covalent
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1420,x1420,-9.405463,x0831,active-covalent
CCOC(=O)c1c(nc(s1)c2cnccn2)C,x0126,x0126,-9.399771,x0678,active-noncovalent
CC(C)C(=O)N1CCC(CC1)Cc2ccccc2,x0670,x0670,-9.381584,x0749,active-covalent
c1cc(sc1)C[NH2+]Cc2ccncc2,x0360,x0360,-9.381174,x1093,active-noncovalent
Cc1ccc(o1)C[N@@H+](C)Cc2ccccc2,x0348,x0348,-9.378069,x1093,active-noncovalent
CC(C)C(=O)NCc1[nH]c2ccccc2n1,x0120,x0120,-9.377493,x0946,active-noncovalent
C[C@H](c1ccc(cc1)N2CCOCC2)[NH3+],x1222,x1222,-9.372700,x0161,active-noncovalent
c1cc(cc(c1)N2CCN(CC2)C(=O)CCl)C(F)(F)F,x1328,x1328,-9.371169,x0749,active-covalent
c1cc(cc(c1)N2CCN(CC2)C(=O)CCl)C(F)(F)F,x1461,x1461,-9.371169,x0749,active-covalent
c1cc(cc(c1)N2CCN(CC2)C(=O)CCl)C(F)(F)F,x0828,x0828,-9.371169,x0749,active-covalent
c1cc(cc(c1)N2CCN(CC2)C(=O)CCl)C(F)(F)F,x0754,x0754,-9.371169,x0749,active-covalent
Cc1ccccc1OCC(=O)Nc2ccccc2,x0379,x0379,-9.359197,x0104,active-noncovalent
c1cc(ccc1C(=O)Nc2ccc(cc2)O)Cl,x0465,x0465,-9.358206,x0749,active-covalent
c1ccc(c(c1)N2CCN(CC2)C(=O)CCl)F,x0788,x0788,-9.340025,x0749,active-covalent
c1ccc(c(c1)N2CCN(CC2)C(=O)CCl)F,x0714,x0714,-9.340025,x0749,active-covalent
c1ccc(c(c1)C(=O)N)NC(=O)c2ccncc2,x0472,x0472,-9.338719,x0749,active-covalent
C[C@H]1CCCCN1C(=O)c2cnccn2,x1124,x1124,-9.332970,x0107,active-noncovalent
C[C@H]1CCCCN1C(=O)c2cnccn2,x0328,x0328,-9.332970,x0107,active-noncovalent
c1ccc2c(c1)ncn2c3ccc(cc3)CO,x0192,x0192,-9.325671,x0749,active-covalent
c1cc(cc(c1)Cl)N2CCN(CC2)CC#N,x1258,x1258,-9.316859,x0749,active-covalent
c1cc(cc(c1)Cl)N2CCN(CC2)CC#N,x0571,x0571,-9.316859,x0749,active-covalent
CC(=O)N1CC[NH+](CC1)CCCc2ccccc2,x0501,x0501,-9.310516,x0678,active-noncovalent
c1ccc(cc1)CNC(=O)c2cccc(c2)F,x0549,x0549,-9.303605,x1093,active-noncovalent
COC(=O)N1CCN(CC1)c2ccc(cc2)F,x0570,x0570,-9.301781,x0749,active-covalent
CCCC(=O)NCc1[nH]c2ccccc2n1,x0593,x0593,-9.299239,x0708,active-covalent
c1ccc(cc1)CCNc2c[nH]c(=O)[nH]c2=O,x0559,x0559,-9.298587,x1093,active-noncovalent
CN(C)c1ccc(cc1)CNn2cnnc2,x0469,x0469,-9.297789,x0749,active-covalent
CN(C)c1ccc(cc1)CNn2cnnc2,x1116,x1116,-9.297789,x0749,active-covalent
c1ccc(cc1)C#CC[NH+]2CCCCC2,x0535,x0535,-9.289313,x0195,active-noncovalent
c1ccc(cc1)C#CC[NH+]2CCCCC2,x1279,x1279,-9.289313,x0195,active-noncovalent
c1ccc(cc1)C#CC[NH+]2CCCCC2,x1059,x1059,-9.289313,x0195,active-noncovalent
CC[NH2+]C1CCN(CC1)c2cc[nH+]cc2,x1082,x1082,-9.281579,x0195,active-noncovalent
CC[NH2+]C1CCN(CC1)c2cc[nH+]cc2,x0265,x0265,-9.281579,x0195,active-noncovalent
c1ccc(cc1)C(c2ccccc2)[NH+]3CC(C3)O,x0198,x0198,-9.279025,x0072,active-noncovalent
c1nncn1NC(=O)CC2CCCCC2,x0601,x0601,-9.278269,x0678,active-noncovalent
c1nncn1NC(=O)CC2CCCCC2,x1285,x1285,-9.278269,x0678,active-noncovalent
c1nncn1NC(=O)CC2CCCCC2,x1081,x1081,-9.278269,x0678,active-noncovalent
C[NH2+][C@H]1CCCN(C1=O)c2ccccc2,x1161,x1161,-9.277293,x0195,active-noncovalent
C[NH2+][C@H]1CCCN(C1=O)c2ccccc2,x0197,x0197,-9.277293,x0195,active-noncovalent
c1cc(cc(c1)NC(=O)CCl)C(=O)N2CCSCC2,x1495,x1495,-9.272637,x0678,active-noncovalent
c1cc(cc(c1)NC(=O)CCl)C(=O)N2CCSCC2,x1394,x1394,-9.272637,x0678,active-noncovalent
c1cc(cc(c1)NC(=O)CCl)C(=O)N2CCSCC2,x0712,x0712,-9.272637,x0678,active-noncovalent
c1cc(cc(c1)NC(=O)CCl)C(=O)N2CCSCC2,x0786,x0786,-9.272637,x0678,active-noncovalent
c1ccc2c(c1)cccc2C[NH+]3CCN(CC3)C(=O)CCl,x0830,x0830,-9.263649,x0830,active-covalent
c1ccc2c(c1)cccc2C[NH+]3CCN(CC3)C(=O)CCl,x1462,x1462,-9.263649,x0830,active-covalent
c1ccc2c(c1)cccc2C[NH+]3CCN(CC3)C(=O)CCl,x0756,x0756,-9.263649,x0830,active-covalent
c1cc(ccc1N2CCN(CC2)C(=O)N)F,x0125,x0125,-9.252831,x0749,active-covalent
CN(CCc1ccccn1)C(=O)c2ccccc2,x1257,x1257,-9.243225,x0397,active-noncovalent
CN(CCc1ccccn1)C(=O)c2ccccc2,x0568,x0568,-9.243225,x0397,active-noncovalent
Cc1c(c(no1)c2ccc(cc2)F)C(=O)NC,x0036,x0036,-9.240849,x0104,active-noncovalent
C[C@H](C(=O)NCc1ccccn1)O,x0272,x0272,-9.233202,x0397,active-noncovalent
C[C@H](C(=O)NCc1ccccn1)O,x1134,x1134,-9.233202,x0397,active-noncovalent
c1ccnc(c1)C(=O)NCCc2ccc(cc2)O,x0402,x0402,-9.227078,x0072,active-noncovalent
c1ccc(cc1)C[N@@H+]2CCO[C@@H](C2)CO,x1163,x1163,-9.206902,x0678,active-noncovalent
c1ccc(cc1)C[N@@H+]2CCO[C@@H](C2)CO,x0574,x0574,-9.206902,x0678,active-noncovalent
C[C@H](c1ccccc1)[NH+]2CCN(CC2)C(=O)CCl,x0699,x0699,-9.196102,x0831,active-covalent
C[C@H](c1ccccc1)[NH+]2CCN(CC2)C(=O)CCl,x1370,x1370,-9.196102,x0831,active-covalent
C[C@H](c1ccccc1)[NH+]2CCN(CC2)C(=O)CCl,x0773,x0773,-9.196102,x0831,active-covalent
