SMILES,TITLE,docked_fragment,site,inspiration frags,Chemgauss4
c1cc(cnc1)NC(=O)NC2(CCCCC2)c3ccc(cc3)F,4560,x0434,active-noncovalent,x0434,-9.062260
CCC(CC)[C@@H](c1ccccc1)NC(=O)Nc2cccnc2,6632,x0434,active-noncovalent,x0434,-9.061159
COc1ccccc1[C@@H](C(=O)OC)NC(=O)Nc2cccnc2,8214,x0434,active-noncovalent,x0434,-9.056767
Cn1ccnc1[C@@H](c2cccc(c2)OC)NC(=O)Nc3cccnc3,13777,x0434,active-noncovalent,x0434,-9.054723
c1cc(cc(c1)F)[C@H](C2CCCC2)NC(=O)Nc3cccnc3,14560,x0434,active-noncovalent,x0434,-9.054699
c1ccc(c(c1)C2CC2)[C@@H](c3ccc(cc3)Cl)NC(=O)Nc4cccnc4,11435,x0434,active-noncovalent,x0434,-9.053533
c1cc(cc(c1)Cl)[C@H](C2CCCCC2)NC(=O)Nc3cccnc3,2498,x0434,active-noncovalent,x0434,-9.038382
c1cc(cnc1)NC(=O)N[C@@H]2CCOc3c2cc(cc3)F,1256,x0434,active-noncovalent,x0434,-9.037747
Cc1ccc(c(c1)C)C(C)(C)CNC(=O)Nc2cccnc2,12268,x0434,active-noncovalent,x0434,-9.033746
COC(=O)[C@H](c1cccc(c1)Br)NC(=O)Nc2cccnc2,957,x0434,active-noncovalent,x0434,-9.027028
c1ccc(cc1)[C@@]2(CCCOC2)NC(=O)Nc3cccnc3,12311,x0434,active-noncovalent,x0434,-9.026857
c1ccc(cc1)OC[C@H](c2ccc(cc2)Cl)NC(=O)Nc3cccnc3,2228,x0434,active-noncovalent,x0434,-9.020324
c1cc(cnc1)NC(=O)N[C@@H](c2ccc(cc2)F)C(F)(F)F,8396,x0434,active-noncovalent,x0434,-9.016712
c1ccc2cc(ccc2c1)[C@@H](c3ccc(cc3)Cl)NC(=O)Nc4cccnc4,7764,x0434,active-noncovalent,x0434,-9.003340
COc1ccc(c(c1)F)CCNC(=O)Nc2cccnc2,3031,x0434,active-noncovalent,x0434,-8.998231
c1ccc(cc1)[C@H](C[NH+]2CCCCC2)NC(=O)Nc3cccnc3,4337,x0434,active-noncovalent,x0434,-8.996547
c1ccc(c(c1)C2(CCCCC2)NC(=O)Nc3cccnc3)F,6365,x0434,active-noncovalent,x0434,-8.993589
CC(C)[C@@H](c1ccc(cc1)F)NC(=O)Nc2cccnc2,1231,x0434,active-noncovalent,x0434,-8.984094
Cc1cccc(c1)c2cccc(c2)CNC(=O)Nc3cccnc3,2462,x0434,active-noncovalent,x0434,-8.978203
c1cc(cnc1)NC(=O)NC(c2ccc(cc2)Cl)c3ccc(cc3)Cl,518,x0434,active-noncovalent,x0434,-8.977430
CC1(C[C@]1(c2ccccc2)NC(=O)Nc3cccnc3)C,8616,x0434,active-noncovalent,x0434,-8.974875
Cc1cccc(c1)[C@@H](C(=O)OC(C)(C)C)NC(=O)Nc2cccnc2,149,x0434,active-noncovalent,x0434,-8.973241
Cc1ccc(cc1)[C@@H](c2ccccc2)NC(=O)Nc3cccnc3,681,x0434,active-noncovalent,x0434,-8.960711
C#Cc1ccccc1CCNC(=O)Nc2cccnc2,6980,x0434,active-noncovalent,x0434,-8.960273
CC(C)(c1ccccc1F)NC(=O)Nc2cccnc2,7124,x0434,active-noncovalent,x0434,-8.959564
c1ccc(cc1)[C@H](c2cccc(c2)F)NC(=O)Nc3cccnc3,643,x0434,active-noncovalent,x0434,-8.956599
c1cc(cnc1)NC(=O)NCC2CC[NH+](CC2)C3CC3,3152,x0434,active-noncovalent,x0434,-8.950368
CC(C)C[C@H]([C@@H]1C[C@H]1c2ccccc2)NC(=O)Nc3cccnc3,8044,x0434,active-noncovalent,x0434,-8.948210
c1ccc(cc1)[C@H](c2cc(cc(c2)Cl)F)NC(=O)Nc3cccnc3,5725,x0434,active-noncovalent,x0434,-8.943975
CNC(=O)c1ccc(cc1)CCNC(=O)Nc2cccnc2,6519,x0434,active-noncovalent,x0434,-8.943821
c1cc(cnc1)NC(=O)NCc2cc(ccc2I)Cl,1479,x0434,active-noncovalent,x0434,-8.941906
C[C@@H]1CCCc2ccccc2[C@@H]1NC(=O)Nc3cccnc3,4704,x0434,active-noncovalent,x0434,-8.940734
c1cc(cnc1)NC(=O)NC2(CC2)C3CCCCC3,7217,x0434,active-noncovalent,x0434,-8.938133
c1cc(cnc1)NC(=O)N[C@H](CCc2ccc(c(c2)Cl)F)c3ccc(c(c3)F)F,3658,x0434,active-noncovalent,x0434,-8.930149
Cc1ccc(cc1)[C@@H](C(F)(F)F)NC(=O)Nc2cccnc2,6670,x0434,active-noncovalent,x0434,-8.913892
COc1ccc(cc1)[C@@H](C(=O)OC)NC(=O)Nc2cccnc2,12105,x0434,active-noncovalent,x0434,-8.911792
COc1ccc(cc1)[C@@H](C(=O)OC)NC(=O)Nc2cccnc2,12139,x0434,active-noncovalent,x0434,-8.911792
COC(=O)[C@H](c1ccc(c(c1)O)O)NC(=O)Nc2cccnc2,4414,x0434,active-noncovalent,x0434,-8.906623
c1cc(cnc1)NC(=O)NC[C@H]2CC[C@@H]3[C@H](C2)C3(F)F,5742,x0434,active-noncovalent,x0434,-8.901943
c1cc(cnc1)NC(=O)NC2(CCCCCC2)c3ccc(cc3)Cl,13889,x0434,active-noncovalent,x0434,-8.896632
c1ccc(c(c1)C2(CCCCC2)NC(=O)Nc3cccnc3)Br,6450,x0434,active-noncovalent,x0434,-8.892295
c1ccc(cc1)c2cccc(c2)CNC(=O)Nc3cccnc3,10165,x0434,active-noncovalent,x0434,-8.889637
c1cc(cnc1)NC(=O)N[C@H](CC(F)(F)F)c2ccc(cc2)Cl,4517,x0434,active-noncovalent,x0434,-8.887709
Cc1cccc(c1)[C@@H](C(F)(F)F)NC(=O)Nc2cccnc2,8411,x0434,active-noncovalent,x0434,-8.887317
C=Cc1ccc(cc1)CCNC(=O)Nc2cccnc2,6979,x0434,active-noncovalent,x0434,-8.879241
CC(C)[C@@H](c1ccc(cc1F)F)NC(=O)Nc2cccnc2,4754,x0434,active-noncovalent,x0434,-8.878207
c1cc(cnc1)NC(=O)N[C@@H](c2ccc(cc2)Br)C(F)(F)F,10487,x0434,active-noncovalent,x0434,-8.878070
C[C@@H]1[C@H](c2ccc(cc2O1)F)NC(=O)Nc3cccnc3,12844,x0434,active-noncovalent,x0434,-8.875470
c1cc(cnc1)NC(=O)N[C@@H](c2ccc(cc2)F)C(=O)N,12649,x0434,active-noncovalent,x0434,-8.875427
C[C@@H](C(=O)Nc1cccc(c1)N2CCCC2)NC(=O)Nc3cccnc3,329,x0434,active-noncovalent,x0434,-8.872978
Cn1ccnc1[C@@H](C(F)(F)F)NC(=O)Nc2cccnc2,10684,x0434,active-noncovalent,x0434,-8.868999
Cc1nc(no1)[C@@H](c2ccccc2F)NC(=O)Nc3cccnc3,4342,x0434,active-noncovalent,x0434,-8.868526
CC(C)(Cc1c[nH]c2c1cccc2Br)NC(=O)Nc3cccnc3,3715,x0434,active-noncovalent,x0434,-8.867701
c1ccc(cc1)[C@H](c2ccccn2)NC(=O)Nc3cccnc3,6469,x0434,active-noncovalent,x0434,-8.863384
C[C@H](Cc1ccc(cc1)C(C)C)NC(=O)Nc2cccnc2,6649,x0434,active-noncovalent,x0434,-8.859522
Cc1ccccc1[C@H](C(C)C)NC(=O)Nc2cccnc2,8699,x0434,active-noncovalent,x0434,-8.857614
CC(C)C[C@@](C)(c1cccc(c1)Br)NC(=O)Nc2cccnc2,10137,x0434,active-noncovalent,x0434,-8.857033
c1ccc2c(c1)CCO[C@@H]2CNC(=O)Nc3cccnc3,14656,x0434,active-noncovalent,x0434,-8.856889
c1ccc(cc1)[C@H](C2CCCCC2)NC(=O)Nc3cccnc3,10224,x0434,active-noncovalent,x0434,-8.856771
CC[C@H](c1ccccc1Br)NC(=O)Nc2cccnc2,12739,x0434,active-noncovalent,x0434,-8.855075
c1cc(cnc1)NC(=O)NCC2CC[NH+](CC2)CC3CC3,13121,x0434,active-noncovalent,x0434,-8.854323
Cn1c2ccccc2nc1[C@@H](c3ccccc3)NC(=O)Nc4cccnc4,7755,x0434,active-noncovalent,x0434,-8.852319
Cc1csc(n1)[C@@H](c2ccccc2)NC(=O)Nc3cccnc3,789,x0434,active-noncovalent,x0434,-8.851749
CSc1cccc(c1)[C@H](c2ccc(cc2F)F)NC(=O)Nc3cccnc3,2230,x0434,active-noncovalent,x0434,-8.846495
