smiles,Mpro-x0072_dock,Mpro-x0104_dock,Mpro-x0107_dock,Mpro-x0161_dock,Mpro-x0195_dock,Mpro-x0305_dock,Mpro-x0354_dock,Mpro-x0387_dock,Mpro-x0395_dock,Mpro-x0397_dock,Mpro-x0426_dock,Mpro-x0434_dock,Mpro-x0540_dock,Mpro-x0678_dock,Mpro-x0874_dock,Mpro-x0946_dock,Mpro-x0967_dock,Mpro-x0991_dock,Mpro-x0995_dock,Mpro-x1077_dock,Mpro-x1093_dock,Mpro-x1249_dock
COc1cccc(c1)C1CC(CN1C(=O)c1cncc(c1)O)O,,,,,,,,,,,-10.44304656982422,,,,,,,,,,,
COc1cccc(c1)CNC(=O)Cc1c(C)nn(c1C)c1ccc(cn1)C(F)(F)F,,-13.011588096618652,,,,-12.517354965209961,,,,,,,,,,,,,,,,
COc1cccc(c1)Oc1nc(nc2c1cccc2)c1cccnc1,,,,,,,,,,,,,,,,,,,,-12.262195587158205,,
COc1ccccc1N1CCN(CC1)c1nc(nc2c1cccc2)c1cccnc1,,,,,,-12.207422256469727,,,,,,,,,,,,,,,,
COc1ccnc(n1)N1CCC(=CC1)c1c[nH]c2c1cccn2,,,,,,,,-10.346470832824707,,,,,,,,,,,,,,
COc1cncc(n1)C(=O)N1CCCC2(CC1)CCCCC2,,,,,,,,,,,-10.287487030029297,,,,,,,,,,,
CS(=O)CC(c1ccccc1)NC(=O)c1[nH]nc2c1CCCC2,,,,,,,,,,,,,,,,,,,,,-12.2981595993042,
C[C@H](CNc1ncnc2c1c(c1ccccc1)c([nH]2)c1ccccc1)O,,,,,,,,,,,,,,-12.39694595336914,,,,,,,,
Cc1[nH]c2c(c1C)cc(cc2)CNS(=O)(=O)c1cccnc1,,,,,,,-12.072992324829102,,,,,,,,,,,,,,,
Cc1[nH]c2c(c1c1csc(n1)c1cnccn1)cccc2,,,,,,,,,,,,,,,,-11.782508850097654,,,,,,
Cc1cc(=O)n2c(n1)sc(n2)N1CCCC(C1)c1nc2c([nH]1)cccc2,,,,,,,,,,,,,,,,,,,-10.814217567443848,,,
Cc1cc(OCCN(C(=O)Nc2cccnc2)C)cc(c1)C,,,,-12.607097625732422,,,,,,,,,,,,,,,,,,
Cc1cc(cc(c1)C)NC(c1c(C)[nH]c2c1cccc2)c1ccncc1,,,,,,,,,,,,,,,,,,,,,,-11.812870025634766
Cc1cc2c([nH]1)ccc(c2)NS(=O)(=O)c1ccc2c(c1)cccc2,,,,-12.816401481628418,,,,,,,,,,,,,,,,,,
Cc1cc2ncn(c2cc1C)c1nc(nc2c1cccc2)c1cccnc1,,,,,,,,,,,,-11.927937507629395,,,-11.914461135864258,,-12.171590805053713,,,-13.316656112670898,,
Cc1ccc(c(=O)[nH]1)C(=O)N1CCCC1c1cccc2c1cccc2,-12.136740684509276,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(c(c1)C)CNC(=O)c1[nH]nc(c1)C,,,,,,,,,,,,,,-12.32548999786377,,,,,,,,
Cc1ccc(c(c1)C)NC(=O)c1[nH]nc(c1)C,,,,,,,-11.868623733520508,,,,,,,-12.38666820526123,,,,,,,,
Cc1ccc(c(c1)C)S(=O)(=O)Nc1cccc2c1[nH]nc2,,,,,,,,,,,,,,-12.894363403320312,,,,,,,,
Cc1ccc(c(c1)Oc1nc(nc2c1cccc2)c1cccnc1)C,,,,,,,,,,,,,,,-12.184932708740234,,,,-10.97199249267578,,,
Cc1ccc(cc1)CC(=O)N(Cc1ccccc1C)Cc1cccnc1,-12.108003616333008,,,,,,,,,,,,,-12.647830963134766,-12.29516315460205,,,,,,,
Cc1ccc(cc1)CCc1c2nc[nH]c2cc2c1nc(N)[nH]c2=O,,,,,,,,,,,-11.038797378540039,,-11.133055686950684,,,,,,-10.951985359191896,,,
Cc1ccc(cc1)Oc1nc(nc2c1cccc2)c1cccnc1,,,,,,,,,,,,-12.26353645324707,,,-12.435498237609865,,,,,-12.716456413269045,,
Cc1ccc(cc1)c1n[nH]cc1CNCc1cccnc1,,,-11.275288581848145,,,,,,,,,,,,,,,-11.47797966003418,-11.21696662902832,-12.477649688720705,,
Cc1ccc(cc1)n1nc(c(c1C)NCc1n[nH]cc1)C.Cl,,,,,,,,,-11.90022087097168,,,,,,,,,,,,,
Cc1ccc(cc1C)Oc1nc(nc2c1cccc2)c1cccnc1,,,,,,,,,-11.75572395324707,,,-12.516192436218262,,,-12.486139297485352,,,,,-12.857206344604492,,
Cc1ccc(cn1)C(=O)N1CCC(=CC1)c1c[nH]c2c1cccn2,,,,,,,,,,,,,,,,,,-11.277122497558596,,,,
Cc1ccc(cn1)C(=O)N1CCN(CC1)C(=O)C(c1ccccc1)(C)C,,,,-12.451504707336426,,,,,,,,,,,,,,,,,,
Cc1ccc(nn1)N1CCCC(C1)NCc1c[nH]nc1c1ccccc1,,,,,,,,-11.570237159729006,,,,-12.199548721313475,,,,,,,,,,
Cc1ccc2n(c1)c(NC(=O)c1cnccn1)c(n2)c1ccccc1,,,,,,,,,,,,,,,,,,,,-12.231294631958008,,
Cc1cccc(c1)C(=O)N1CCN(CC1)C(=O)c1[nH]nc2c1cccc2,,,,,,,,,,,,,,,,-11.223098754882812,,,,,,
Cc1cccc(c1)C=C1CCn2c1nc1c(Cl)cc(cc1c2=O)Cl,,,,,-11.511743545532227,,,,,,,,,,,,,,,,,
Cc1cccc(c1)CNC(=O)c1[nH]nc(c1)C,,,,,-11.843328475952148,,,,,,,,,,,,,,,,,
Cc1cccc(c1)OCCn1c(C)nc2c(c1=O)cccc2,,,,,,,,,,,,,,,,,,,,,-12.47044563293457,
Cc1cccc2c1c(=O)[nH]c(n2)Cc1c[nH]c2c1cccc2,,,,,,,,,,,-11.117583274841307,,,,,,,,,,,
Cc1ccccc1C(=O)N1CCC(=CC1)c1c[nH]c2c1cccn2,,,-11.467227935791016,,,,,,,,,,,,,,,,,,,
Cc1ccnc(c1)NC(c1c(C)[nH]c2c1cccc2)c1ccncc1,,,,,,,,,,,,,,,,,,,,,,-12.414864540100098
Cc1ccnc(n1)N1C[C@@H]2[C@](C1)(CCC2)c1onc(n1)c1cccnc1,,,,,,,,,,,,,,,,,,,-10.914111137390137,,,
Cc1ccncc1N1CCN(CC1)C(=O)c1ccnn1C,,,,,,,,,,,,,-10.47958755493164,,,,,,,,,
Cc1ccncc1N1CCN(CC1)C(=O)c1scnc1C,,,,,,,,,,,,,-9.8974027633667,,,,,,,,,
Cc1cncc(c1)CN1CCC(=C2c3ccc(cc3CCc3c2nccc3)Cl)CC1,,,,,,,-11.956400871276855,,,,,,,,,,,,,,,
Cc1cnccc1N1CCCC(C1)c1nnc[nH]1,,,,,-11.897767066955565,,,,,,,,,,,,,,,,,
Cc1cnn(c1)CC1CCCCN1C(=O)c1c[nH]c2c1cccn2,,,-11.298563003540039,,,,,,,-10.622135162353516,,,,,,,,,,,,
Cc1n[nH]c(c1)C(=O)N1C[C@@H]([C@H](C1)c1[nH]nc(n1)C1CC1)C1CC1,,,,,,,-12.015268325805664,,,,,,,,,,,,,,,
Cc1n[nH]c(c1)C(=O)NC1CCc2c1cccc2,,,,,,,,,,,-10.49580192565918,,,,,,,,,,,
Cc1nc(sc1c1ccccn1)NC(=O)c1cccnc1O,,,,,,,,,,-10.635448455810547,,,,,,,,,,,,
Cc1onc(c1)C1CCCN1C(=O)c1ccc2c(c1)nn[nH]2,,,,,,,,,,,-10.433860778808594,,,,,,,,,,,
Cc1sc2c(c1C)c(NCc1ccncc1)nc(n2)c1cccnc1,,,,,,,,,-11.476726531982422,,,-12.320146560668945,,,,,,,,,,
Cc1scc(n1)C1Nc2ccccc2C(=O)N1Cc1cccnc1,,,,,,,,,-12.106642723083494,,,-12.490728378295898,,,-12.494056701660154,,,,,-12.140316009521484,,-12.05742645263672
Clc1cc(Cl)c2c(c1O)nc(cc2)C=Cc1ccc(cc1)Oc1ccccc1,,,,-12.51539421081543,,,,,,,,,,,,,,,,,,
Clc1cc(Cl)cc(c1)C(=O)N1CCC(=CC1)c1c[nH]c2c1cccn2,,,-11.466398239135742,,,,,,,,,,,,,,,,,,,
Clc1cc(cc(c1)Cl)NC(=O)c1cc(=O)[nH]c(=O)[nH]1,,,,,,,,-10.220537185668944,,-10.828876495361328,,,,,,,,,,,,
Clc1ccc(cc1)C(C1CCC1)NC(=O)c1ncc2c(c1)c(=O)[nH]cn2,-11.719925880432127,,,,,,,,,,,,,,,,,,,,,
Clc1ccc(cc1)C1(CCNCC1)c1ccc(cc1)c1ncnc2c1nc[nH]2,,,,-12.624669075012207,,,,,,,,,,-13.22994613647461,,,,,,,,
Clc1ccc(cc1)C1(CCOCC1)NC(=O)c1cccnc1,-12.505891799926758,,,,,-12.380000114440918,,,,,,,,,,,,,,,,-12.171030044555664
Clc1ccc(cc1)C1Nc2ccccc2Nc2c1c([nH]n2)c1ccccc1,,,,,,,,,,,,,,,,,-12.827085494995115,,,,,
Clc1ccc(cc1)Cn1c(nc2c1c(=O)[nH]c(=O)n2C)N1CCN(CC1)Cc1ccccc1,,,,-12.59886360168457,,,,,,,,,,,,,,,,,,
