SMILES,TITLE,dockvalent_id,number_of_overlapping_fragments,overlapping_fragments,overlap_score,docked_fragment
Cc1ccc(c(c1)Cc2ccccc2)N([C@@H]3CS(=O)(=O)C=C3)C(=O)C[CH2-],SAL-INS-1c7-7,2460_NCL2ACR.0,0,,1861.7068935402003,x1385
[CH2-]C(=O)N1CCN[C@@H]2[C@H]1N(C(=O)N2)c3cccnc3,NIM-UNI-36e-1,2138_ACL.0,0,,1861.562194065808,x0678
CC(=O)NCCc1ccnc2c1cc(cc2CCNS(=O)(=O)C)[C+]=[NH2+],ROB-UNI-b2e-10,894_NIT.0,0,,1857.8216318961638,x0305
Cc1ccc(c(c1)CC2=NC=[NH+][CH+]2)N([C@@H]3CS(=O)(=O)C=C3)C(=O)[CH2-],SAL-INS-1c7-9,2462_NCL.0,0,,1857.715081532623,x0734
Cc1ccc(c(c1)CC2=NC=[NH+][CH+]2)N([C@@H]3CS(=O)(=O)C=C3)C(=O)[CH2-],SAL-INS-1c7-9,2462_NCL.0,0,,1856.4514714957165,x1392
[CH2-]CC(=O)N1CC[N@@]([C@@H]2[C@H]1N(C(=O)N2)c3cccnc3)Cc4ccccc4,NIM-UNI-36e-2,2139_ACL2ACR.0,0,,1856.2659184892882,x1418
CCOC(=O)[C@@H]1C[C@@H](CCN1C(=O)[CH2-])Cc2cccc(c2)C,MAK-UNK-af8-7,931_NCL.0,0,,1854.9780770107438,x0195
C[C@H](C1=CC(=C[C@H]2[C@@H]1CCC2)Cl)NC(=O)[CH2-],DAV-CRI-eab-2,251_NCL.0,0,,1854.022166826242,x1382
Cc1ccc(c(c1)CC2=NC=[NH+][CH+]2)N([C@@H]3CS(=O)(=O)C=C3)C(=O)[CH2-],SAL-INS-1c7-9,2462_NCL.0,0,,1853.5853296249823,x1458
CC(=O)c1ccnc(c1N(C2=c3cncnc3=[NH+][CH+]2)C(=O)C[CH2-])c4cc(cs4)F,LEO-EVO-0d2-6,2618_ACL2ACR.0,0,,1853.0133111492503,x0830
CC(=O)N(c1cc(cnc1)N)C(=O)[CH2-],DAN-PUR-19f-2,2490_NCL.0,0,,1852.8794230157564,x1093
c1cc(cc(c1)NC(=O)CC2=c3cccnc3=[NH+][CH+]2)[C+]=[NH2+],DAR-DIA-23a-1,2354_NIT.0,1,x1336,1849.9928684024417,x0995
[CH2-]CC(=O)N(c1cc(cnc1)N)C(=O)CCl,DAN-PUR-19f-2,2490_ACL2ACR.0,1,x1412,1848.181148553286,x0107
[CH2-]C(=O)N1CCN(CC1)Cc2cc(cc3c2cccc3)F,DAR-DIA-fb2-2,39_NCL.0,4,"x0831,x0830,x0692,x0770",1842.5419830189426,x0195
[CH2-]C(=O)N1Cc2ccccc2[C@@H]([C@H]1C(=O)Nc3cccnc3)c4ccccc4,DAV-CRI-1c7-6,2471_NCL.0,1,x1336,1841.069890495589,x1384
[CH2-]CC(=O)N1CC[N@]([C@H](C1)C2=[NH+]C=N[CH+]2)Cc3[cH-]cc([s+]3)Br,SAL-INS-1c7-12,2465_NCL2ACR.1,3,"x0769,x0734,x0755",1834.729021936344,x1392
[CH2-]C(=O)N1CCN(CC1)Cc2[c-](c(=O)c3ccc(cc3n2)S(=O)(=O)N)Cl,CHR-UNK-e06-1,313_ACL.1,0,,1834.4136505268002,x0195
[CH2-]C(=O)N1CCN(CC1)Cc2[c-](c(=O)c3ccc(cc3n2)S(=O)(=O)N)Cl,CHR-UNK-b46-1,875_ACL.1,0,,1834.4136505268002,x0195
[CH2-]C(=O)N1CCC[C@@]2(C1)C[C@@H]([C@H](C2)C(=O)N)c3ccsc3,NIR-THE-99f-2,1133_NCL.0,0,,1833.1303581473337,x0874
Cc1cccc(c1)[C@H]2CN(Cc3c2cccc3)C(=O)[CH2-],NIR-THE-c33-6,627_NCL.0,1,x1420,1831.4287774904349,x1420
[CH2-]C(=O)Nc1c(ccnc1Cl)[C@@H]2C[C@H]([C@@H](C2)C(=O)N)c3ccsc3,NIR-THE-99f-4,1135_NCL.0,0,,1830.2063970107706,x0874
[CH2-][C@H](c1cccnc1)C(=O)Nc2ccccc2,BEN-DND-031-8,2732_ACR.0,0,,1829.048491915292,x1351
[CH2-][C@H](c1cccnc1)C(=O)Nc2ccccc2,BEN-DND-031-8,2732_ACR.0,6,"x0759,x0434,x1386,x0831,x0830,x0692",1826.9757204961302,x0540
Cc1ccc(c(c1)CC2=NC=[NH+][CH+]2)N([C@@H]3CS(=O)(=O)C=C3)C(=O)[CH2-],SAL-INS-1c7-9,2462_NCL.0,0,,1826.9130545436444,x1385
C=C1N[C@@H-][C@H](C(=O)N1c2cccnc2)c3cccc(c3)Br,NIM-UNI-534-1,1913_ACR.0,0,,1825.6895600680507,x0434
[CH2-]C(=O)N1CC[N@]([C@@H]2[C@H]1N(C(=O)N2)c3cccnc3)Cc4ccccc4,NIM-UNI-36e-2,2139_ACL.0,0,,1824.7875701622863,x1386
CC(=O)NCCc1ccnc2c1cc(cc2CCNS(=O)(=O)C)[C+]=[NH2+],ROB-UNI-b2e-10,894_NIT.0,0,,1822.004498474372,x0072
[CH2-]C(=O)N1CC[C@H](OC1)c2ccc(cc2)CO,NIM-UNI-43f-4,2052_NCL.0,3,"x1412,x1336,x1385",1818.8466589363172,x0759
Cc1cccc(c1)CC2CCN(CC2)C(=O)C[CH2-],MAK-UNK-af8-6,930_NCL2ACR.0,0,,1817.9502634973715,x0104
[CH2-]CC(=O)N1CC[N@@]([C@@H]2[C@H]1N(C(=O)N2)c3cccnc3)Cc4ccccc4,NIM-UNI-36e-2,2139_ACL2ACR.0,0,,1817.7427052284845,x0770
[CH2-]C(=O)N1CCN(CC1)C(=O)[C@H](c2c(cccn2)Cl)F,JON-UIO-066-4,2673_ACL.0,3,"x0734,x1380,x0820",1816.8747719972312,x0689
CC(=O)Nc1c(c(cs1)[C+]=[NH2+])CN2CCN(CC2)C(=O)CCl,DAV-CRI-d1e-6,480_NIT.0,0,,1815.706507913922,x0305
[CH2-]CC(=O)N1CC[N@]([C@H](C1)C2=[NH+]C=N[CH+]2)Cc3[cH-]cc([s+]3)Br,SAL-INS-1c7-12,2465_NCL2ACR.1,1,x0734,1814.1559509211434,x0734
[CH2-]C(=O)N(c1ccc(cc1Cc2ccccc2)F)[C@@H]3CS(=O)(=O)C=C3,SAL-INS-1c7-8,2461_NCL.0,0,,1813.9144460289726,x0734
[CH2-]CC(=O)N(c1ccc(cc1Cc2ccccc2)F)[C@@H]3CS(=O)(=O)C=C3,SAL-INS-1c7-8,2461_NCL2ACR.0,0,,1812.8169737018477,x1385
[CH2-]C(=O)N1CCN(CC1)Cc2cc(cc3c2cccc3)F,DAR-DIA-fb2-2,39_NCL.0,4,"x0831,x0830,x0692,x0770",1812.4563009580497,x0104
[CH2-]CC(=O)N1CC[N@]([C@H](C1)C2=[NH+]C=N[CH+]2)Cc3[cH-]cc([s+]3)Br,SAL-INS-1c7-12,2465_NCL2ACR.1,2,"x0734,x0820",1810.1942887162886,x1458
CS(=O)(=O)[N@]1CCN(C[C@@H]1c2ccccc2)C(=O)[CH2-],DUN-NEW-f8c-22,109_NCL.0,1,x1374,1810.0071580164292,x1458
[CH2-]C(=O)N1CCC[C@@]2(C1)C[C@@H]([C@H](C2)C(=O)N)c3ccsc3,NIR-THE-99f-2,1133_NCL.0,0,,1809.5641276561664,x0820
CC(C)N(C)C(=O)[C@@H]1CCN(C[C@H]1C[C@H]2C=CC=[S@H]2)C(=O)[CH2-],DAV-CRI-7eb-1,1450_NCL.0,0,,1808.6425511015202,x1458
[CH2-]C(=O)N1CC[N@@]([C@H](C1)C2=NC=[NH+][CH+]2)Cc3[cH-]cc([s+]3)Br,SAL-INS-1c7-12,2465_NCL.0,3,"x0734,x1412,x1336",1808.217273807768,x1374
[CH2-]CC(=O)N1CCN(CC1)Cc2cc(cc3c2cccc3)C#N,DAR-DIA-fb2-6,43_NCL2ACR.0,7,"x0769,x0691,x1402,x0755,x1425,x0689,x1384",1806.3561253356734,x0830
c1cc(cc(c1)NC(=O)Cc2cccnc2)[C+]=[NH2+],DAR-DIA-23a-4,2357_NIT.0,3,"x1334,x1412,x1336",1805.9093474679112,x0104
[CH2-]C(=O)N1CCN(CC1)C[c-]2[cH-][c-]([cH-][c-]3[c-]2[nH][cH-][c-]3C(F)(F)F)F,BEN-VAN-d8f-24,427_ACL.0,4,"x0831,x0830,x0692,x0770",1804.8251198821738,x0104
Cc1cccc(c1)N(c2ccc(s2)Cl)C3CCN(CC3)C(=O)[CH2-],NIR-THE-0d6-11,2611_NCL.0,3,"x1380,x1458,x1336",1803.6683548857693,x0770
[CH2-]CC(=O)N1CC[C@H](OC1)c2ccc(cc2)O,NIM-UNI-43f-3,2051_NCL2ACR.0,3,"x1334,x1412,x1336",1803.007909005707,x0759
