SMILES,TITLE,Hybrid2,docked_fragment
c1cc(cnc1)NC(=O)Nc2ccc(cc2)C#N,JOH-UNK-14e6adc5-2,-8.835213,x0749
CCOCC1CCN(CC1)c2ccc(cc2)S(=O)(=O)N,WAR-XCH-b6889685-20,-8.822823,x0161
c1cc(ccc1N2CCC(CC2)c3ccsc3)S(=O)(=O)N,WAR-XCH-b72a1bbc-16,-8.814410,x0195
c1cc(cc(c1)Cl)C[NH+]2CCN(CC2)C(=O)CCl,MED-COV-4280ac29-16,-8.791433,x0831
c1cc(cc(c1)Cl)C[NH+]2CCN(CC2)C(=O)CCl,MED-COV-4280ac29-15,-8.791433,x0831
c1cc(cc(c1)Cl)C[NH+]2CCN(CC2)C(=O)CCl,AAR-POS-d2a4d1df-35,-8.791433,x0831
c1cc(cc(c1)OCCn2cncn2)NC(=O)Cc3cccnc3Br,BAR-COM-4e090d3a-35,-8.784991,x0195
c1cc(ccc1N2CCSCC2)S(=O)(=O)N,WAR-XCH-b72a1bbc-1,-8.766706,x0749
CC(=O)N1CC[NH+](CC1)Cc2cccc(c2)C#N,PAT-UNK-b2d83456-1,-8.765173,x0749
Cc1cc(ccc1NC(=O)[C@@H](c2cccnc2)N(c3ccc4c(c3)scn4)C(=O)C=C)OC,LON-WEI-b8d98729-1,-8.756179,x0831
c1ccc(cc1)C(=O)N2CCN(CC2)C(=O)C3CCOCC3,GIA-UNK-eaadd1d4-1,-8.754841,x0946
CCSCC1CCN(CC1)c2ccc(cc2)S(=O)(=O)N,WAR-XCH-b72a1bbc-39,-8.731390,x0161
c1cc(cc(c1)O[C@H]2CC(=O)N2)NC(=O)Cc3cncnc3,BAR-COM-4e090d3a-39,-8.729742,x0678
c1ccc(c(c1)NC(=O)c2cc(ccc2O)Cl)Cl,CHR-SOS-7098f804-4,-8.723997,x0195
CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CC[NH+](C)C,LON-WEI-b8d98729-34,-8.722964,x0072
CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CC[NH+](C)C,TOM-OIS-cbf37265-2,-8.722964,x0072
CNS(=O)(=O)Cc1ccc2c(c1)c(c[nH]2)CC[NH+](C)C,ANT-OPE-47f3bb65-1,-8.722964,x0072
Cc1ccc2c(c1S(=O)(=O)[O-])sc(n2)c3ccc(cc3)N,AAR-POS-dddeddbf-1,-8.717568,x0749
c1ccc(cc1)NC(=O)CC(=O)N2CCOCC2,GIA-UNK-3f36037a-2,-8.713440,x1093
c1cc(ccc1N2CCC(CC2)[C@@H]3CCCO3)S(=O)(=O)N,WAR-XCH-b72a1bbc-18,-8.696627,x0161
c1ccc2c(c1)cncc2CC(=O)Nc3cccc(c3)C#N,DAR-DIA-23aa0b97-19,-8.666809,x0831
c1ccc(cc1)NC(=O)c2cc(ccc2O)Cl,CHR-SOS-7098f804-7,-8.661772,x0749
c1ccc(cc1)[C@@H](Cn2cccn2)NC(=O)CCc3cn[nH]n3,BAR-COM-4e090d3a-30,-8.655871,x0678
Cc1ccccc1NC2CCN(CC2)c3ccc(cc3)S(=O)(=O)N,WAR-XCH-b6889685-30,-8.649417,x0072
c1ccc(cc1)C(=O)N2CCC[C@@H]2C(=O)N3CCOCC3,GIA-UNK-d2defdc3-6,-8.646894,x1093
CNC(=O)OC1CC[NH+](CC1)Cc2ccccc2,GIA-UNK-595fac82-5,-8.642924,x0678
c1cc(cc(c1)NC(=O)Nc2cc(cnc2)N)C#N,DAR-DIA-23aa0b97-8,-8.612061,x0749
C[C@@H](c1ccc(cc1)S(=O)(=O)NC)NC(=O)[C@@H]2CC2=C,VIJ-CYC-1a381570-5,-8.562788,x0195
COc1ccccc1OCCNC(=O)c2cc(=O)[nH]c3c2cccc3,MAT-POS-916a2c5a-2,-8.549057,x1093
c1cc(sc1)C[NH+]2CCN(CC2)C(=O)CCl,AAR-POS-0daf6b7e-17,-8.544258,x0831
c1cc(sc1)C[NH+]2CCN(CC2)C(=O)CCl,LON-WEI-8f408cad-5,-8.544258,x0831
c1cscc1C[NH+]2CCN(CC2)C(=O)CCl,AAR-POS-0daf6b7e-13,-8.542832,x0831
c1cscc1C[NH+]2CCN(CC2)C(=O)CCl,LON-WEI-8f408cad-7,-8.542832,x0831
